27 0,1 0,1 0,1 0,1 0,1 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,1 0,1 0,1 0,1 0,1 0,49 0,1 0,1 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,10 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
27 0,1 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,0 0,10 0,0 0,15 0,15 0,15 0,15 0,15 0,15 0,15 0,1 0,1 0,1 0,1 0,1 0,27 0,0 0,1 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
1 0,0 0,0 0,0 0,0 0,0 0,9 0,0 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0
1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
0 0,0 0,1 0,0 0,1 36,46 0,1 0,0 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,1 0
1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,8 0,1 0,0 0,1 0
1 0,0 0,0 0,0 0,9 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,47 0,1 22,0 0,1 0,0 0,1 0
1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,0 0,1 0,7 0,1 0,8 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,0 0,0 0,0 0,6 0,0 0,0 0,0 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,1 0,7 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0
1 0,0 0,1 0,0 0,1 0,0 0,9 0,0 0,9 0,0 0,0 0,0 0,4 0,0 0,10 0,0 0,15 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0
1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,50 0,43 0,1 0,1 0,1 0,1 0,1 0,42 0,53 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0
1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,1 0,1 0,5 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,0 0,0 0,1 0,0 0,1 0
9 0,0 0,1 0,1 0,1 0,8 0,1 0,0 0,1 0,1 0,1 0,7 0,1 0,1 0,1 0,1 0,1 0,8 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,9 0,0 0,6 0,0 0,44 0,0 0,9 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,1 0,0 0,1 0
1 0,8 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,52 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,8 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,8 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,7 0,1 0,0 0,9 0,0 0,1 0,1 0,1 0,0 0,1 0
1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0
1 0,1 0,1 0,0 0,1 0,0 0,1 0,8 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,7 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,7 0,1 0,0 0,3 0,1 0,1 0
1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0
1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,8 0,1 0,1 0,1 0,1 0,7 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0
9 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0
1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,9 0,0 0,0 0
1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,0 0,0 0,1 0,0 0,1 16,48 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,1 0,0 0,0 0
1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,8 0,1 0,1 0,28 0,1 0,1 0,1 0,28 0,1 0,1 0,1 0,8 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0
