1 0,1 0,0 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,16 0,1 0
3 0,1 0,49 0,1 0,1 0,1 0,17 0,1 0,16 0,1 0,18 0,1 0,1 0,1 0,17 0,1 0,27 0,1 0,1 0,1 0,1 0,1 0,18 0,1 0,27 0,1 0,18 0,1 0,1 0,1 0
1 0,1 0,0 0,1 0,1 32 2,0 0,0 0,1 0,1 0,1 0,0 0,0 0,17 0,0 0,0 0,1 0,1 0,1 0,1 32 3,0 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,1 0,1 32 2,0 0
0 0,1 0,1 32 2,0 0,1 0,1 0,1 0,0 0,0 0,1 32 1,1 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,1 32 0,1 0,1 0,1 0,0 0,18 0,0 0,0 0,0 0,1 0,1 0
1 0,1 0,1 0,17 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,16 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,17 0,1 0,27 0
1 0,27 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,23 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,23 0,1 0,0 0,1 0,1 0
1 0,1 0,1 0,0 0,18 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,1 0,1 32 2,0 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,1 32 3,1 0,1 0,1 0,0 0,0 0,17 0
0 0,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,17 0,0 0,1 0,1 0,1 0,0 0,1 0,1 32 2,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0
1 0,1 0,0 0,1 0,27 0,1 0,1 32 3,1 0,1 0,1 0,0 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,18 0,1 0,27 0,1 0,1 32 3,1 0,1 0,1 0,0 0,1 0,16 0,1 0
23 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,16 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,16 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,16 0,1 0,0 0,1 0,1 0,1 0
