0 0,0 0,0 0,0 0,0 0,0 0,0 0,3 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,49 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,9 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,0 0,0 0,0 0
0 0,0 0,0 0,9 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,0 0,0 0
0 0,0 0,0 0,9 0,0 0,4 0,4 0,4 0,4 0,0 0,6 0,0 0,0 0,0 0
9 0,7 0,7 0,7 0,0 0,4 0,52 0,27 0,4 0,0 0,6 0,7 0,7 0,7 0
9 0,0 0,0 0,0 0,0 0,4 0,4 0,4 0,4 0,0 0,0 0,0 0,0 0,6 0
9 0,0 0,11 0,10 0,10 0,1 0,1 0,1 0,1 0,15 0,15 0,15 0,0 0,6 0
9 0,0 0,10 0,53 0,0 0,1 0,1 0,1 0,1 0,15 0,51 0,15 0,0 0,6 0
9 0,0 0,10 0,27 0,0 0,1 0,5 1,33 0,1 0,15 0,27 0,15 0,0 0,6 0
9 0,0 0,13 0,10 0,10 0,1 0,1 0,50 0,1 0,15 0,15 0,15 0,0 0,6 0
9 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,6 0
8 0,8 0,8 0,8 0,8 0,6 0,6 0,6 0,8 0,8 0,8 0,8 0,8 0,6 0
0 0,0 0,0 0,0 0,0 0,6 0,27 0,6 0,6 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,0 0,6 0,6 0,6 0,6 0,0 0,0 0,0 0,0 0,0 0
