3 0,19 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,19 0,19 0,19 0,1 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,1 0,22 0,19 0,21 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,19 0,19 0,19 0,1 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,19 0,19 0,19 0,1 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,1 0,22 0,19 0,21 0,1 0,0 0,0 0
0 0,0 0,1 0,1 0,19 0,19 0,19 0,1 22,1 0,0 0,0 0
0 0,0 0,0 0,42 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,1 0,1 0,1 0,16 0,1 0,1 0,1 0,1 0,1 0
0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0
0 0,0 0,1 0,1 0,1 0,18 0,1 40 2,26 0,1 0,0 0,1 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
0 0,0 0,4 0,46 0,15 0,1 0,1 0,1 0,1 0,1 0,1 0
0 0,0 0,4 0,1 0,15 0,1 0,1 0,25 36 1,1 0,33 0,1 0
0 0,0 0,4 0,1 0,15 0,1 0,1 0,1 0,1 0,5 0,1 0
0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0
